,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
1898,acs-bh1309,1,1,1,1,1.8,1,107,1.8,2014-08-10,Windows
1899,acs-bml,66,26,444,220,9.5,6,94,627.0,2014-08-10,Windows
1900,acs-bmlgl,4,4,46,22,11.2,11,61,44.8,2014-08-10,Windows
1901,acs-ccc,2,2,5,5,0.3,2,9,0.6,2014-08-10,Windows
1902,acs-cseb220,25,7,80,46,3.5,3,69,87.5,2014-08-10,Windows
1948,acs-vilb6e,4,3,99,54,5.0,24,12,20.0,2014-08-10,Windows
1950,acs-wlh2216,1,1,1,1,10.0,1,600,10.0,2014-08-10,Windows
1951,acs-wlh2217a,1,1,1,1,0.7,1,42,0.7,2014-08-10,Windows
1952,acs-yh2332,1,1,3,1,5.0,3,100,5.0,2014-08-10,Windows
1953,acs-yh2410,1,1,1,1,0.1,1,9,0.1,2014-08-10,Windows
1954,acs-yh2432,3,1,7,2,0.1,2,1,0.3,2014-08-10,Windows
1955,acs-yh3020,2,1,6,2,0.0,3,0,0.0,2014-08-10,Windows
1903,acs-cseb250,39,23,224,88,4.7,5,56,183.3,2014-08-10,Windows
1897,acs-b325,22,11,192,105,4.6,8,34,101.2,2014-08-10,Windows
1896,acs-apm3432,3,1,5,4,0.5,1,31,1.5,2014-08-10,Windows
1895,acs-apm3402,14,10,28,14,2.1,2,61,29.4,2014-08-10,Windows
1894,acms-ga,41,15,848,307,8.5,20,25,348.5,2014-08-10,Windows
1893,ALL-XP,851,234,7000,2477,5.6,8,41,4765.6,2014-08-10,Windows
1892,ALL-VLAB,41,15,848,307,8.5,20,25,348.5,2014-08-10,Windows
1949,acs-wlh2211,1,1,1,1,0.5,1,28,0.5,2014-08-10,Windows
1904,acs-cseb260,39,24,324,133,10.7,8,80,417.3,2014-08-10,Windows
1947,acs-vilb3w,2,2,19,11,1.9,9,12,3.8,2014-08-10,Windows
1906,acs-ebu2-107,1,1,2,2,0.2,2,5,0.2,2014-08-10,Windows
1940,acs-rimac,3,3,29,24,1.8,9,11,5.4,2014-08-10,Windows
1939,acs-rh228,1,1,7,2,0.2,7,1,0.2,2014-08-10,Windows
